|  x   |  y   |zx |nx |zy |ny | f |no | out  |zr |ng |
| 0000 | 1111 | 1 | 0 | 1 | 0 | 1 | 0 | 0000 | 1 | 0 |
| 0000 | 1111 | 1 | 1 | 1 | 1 | 1 | 1 | 0001 | 0 | 0 |
| 0000 | 1111 | 1 | 1 | 1 | 0 | 1 | 0 | 1111 | 0 | 1 |
| 0000 | 1111 | 0 | 0 | 1 | 1 | 0 | 0 | 0000 | 1 | 0 |
| 0000 | 1111 | 1 | 1 | 0 | 0 | 0 | 0 | 1111 | 0 | 1 |
| 0000 | 1111 | 0 | 0 | 1 | 1 | 0 | 1 | 1111 | 0 | 1 |
| 0000 | 1111 | 1 | 1 | 0 | 0 | 0 | 1 | 0000 | 1 | 0 |
| 0000 | 1111 | 0 | 0 | 1 | 1 | 1 | 1 | 0000 | 1 | 0 |
| 0000 | 1111 | 1 | 1 | 0 | 0 | 1 | 1 | 0001 | 0 | 0 |
| 0000 | 1111 | 0 | 1 | 1 | 1 | 1 | 1 | 0001 | 0 | 0 |
| 0000 | 1111 | 1 | 1 | 0 | 1 | 1 | 1 | 0000 | 1 | 0 |
| 0000 | 1111 | 0 | 0 | 1 | 1 | 1 | 0 | 1111 | 0 | 1 |
| 0000 | 1111 | 1 | 1 | 0 | 0 | 1 | 0 | 1110 | 0 | 1 |
| 0000 | 1111 | 0 | 0 | 0 | 0 | 1 | 0 | 1111 | 0 | 1 |
| 0000 | 1111 | 0 | 1 | 0 | 0 | 1 | 1 | 0001 | 0 | 0 |
| 0000 | 1111 | 0 | 0 | 0 | 1 | 1 | 1 | 1111 | 0 | 1 |
| 0000 | 1111 | 0 | 0 | 0 | 0 | 0 | 0 | 0000 | 1 | 0 |
| 0000 | 1111 | 0 | 1 | 0 | 1 | 0 | 1 | 1111 | 0 | 1 |
| 0101 | 0011 | 1 | 0 | 1 | 0 | 1 | 0 | 0000 | 1 | 0 |
| 0101 | 0011 | 1 | 1 | 1 | 1 | 1 | 1 | 0001 | 0 | 0 |
| 0101 | 0011 | 1 | 1 | 1 | 0 | 1 | 0 | 1111 | 0 | 1 |
| 0101 | 0011 | 0 | 0 | 1 | 1 | 0 | 0 | 0101 | 0 | 0 |
| 0101 | 0011 | 1 | 1 | 0 | 0 | 0 | 0 | 0011 | 0 | 0 |
| 0101 | 0011 | 0 | 0 | 1 | 1 | 0 | 1 | 1010 | 0 | 1 |
| 0101 | 0011 | 1 | 1 | 0 | 0 | 0 | 1 | 1100 | 0 | 1 |
| 0101 | 0011 | 0 | 0 | 1 | 1 | 1 | 1 | 1011 | 0 | 1 |
| 0101 | 0011 | 1 | 1 | 0 | 0 | 1 | 1 | 1101 | 0 | 1 |
| 0101 | 0011 | 0 | 1 | 1 | 1 | 1 | 1 | 0110 | 0 | 0 |
| 0101 | 0011 | 1 | 1 | 0 | 1 | 1 | 1 | 0100 | 0 | 0 |
| 0101 | 0011 | 0 | 0 | 1 | 1 | 1 | 0 | 0100 | 0 | 0 |
| 0101 | 0011 | 1 | 1 | 0 | 0 | 1 | 0 | 0010 | 0 | 0 |
| 0101 | 0011 | 0 | 0 | 0 | 0 | 1 | 0 | 1000 | 0 | 1 |
| 0101 | 0011 | 0 | 1 | 0 | 0 | 1 | 1 | 0010 | 0 | 0 |
| 0101 | 0011 | 0 | 0 | 0 | 1 | 1 | 1 | 1110 | 0 | 1 |
| 0101 | 0011 | 0 | 0 | 0 | 0 | 0 | 0 | 0001 | 0 | 0 |
| 0101 | 0011 | 0 | 1 | 0 | 1 | 0 | 1 | 0111 | 0 | 0 |
