| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |   0   |      0 |
| 1    |      0 |  0  |   0   |      0 |
| 1+   |      0 |  1  |   0   |      0 |
| 2    |      0 |  1  |   0   |      0 |
| 2+   |  11111 |  0  |   0   |      0 |
| 3    |  11111 |  0  |   0   |      0 |
| 3+   |  11111 |  1  |   1   |      0 |
| 4    |  11111 |  1  |   1   |  11111 |
| 4+   |  11111 |  0  |   0   |  11111 |
| 5    |  11111 |  0  |   0   |  11111 |
| 5+   |   3333 |  0  |   3   |  11111 |
| 6    |   3333 |  0  |   3   |  11111 |
| 6+   |   3333 |  1  |   3   |  11111 |
| 7    |   3333 |  1  |   3   |   3333 |
| 7+   |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   3   |   3333 |
| 8    |   3333 |  0  |   1   |   3333 |
| 8+   |   7777 |  0  |   1   |   3333 |
| 9    |   7777 |  0  |   1   |   3333 |
| 9+   |   7777 |  1  |   7   |   3333 |
| 10   |   7777 |  1  |   7   |   7777 |
| 10+  |   7777 |  0  |   7   |   7777 |
| 11   |   7777 |  0  |   7   |   7777 |
| 11   |   7777 |  0  |   3   |   7777 |
| 11   |   7777 |  0  |   7   |   7777 |
| 11+  |   7777 |  0  |   0   |   7777 |
| 12   |   7777 |  0  |   0   |   7777 |
| 12   |   7777 |  0  |   1   |   7777 |
| 12   |   7777 |  0  |   2   |   7777 |
| 12   |   7777 |  0  |   3   |   7777 |
| 12   |   7777 |  0  |   4   |   7777 |
| 12   |   7777 |  0  |   5   |   7777 |
| 12   |   7777 |  0  |   6   |   7777 |
| 12   |   7777 |  0  |   7   |   7777 |
| 12+  |  21845 |  1  |   0   |   7777 |
| 13   |  21845 |  1  |   0   |  21845 |
| 13+  |  21845 |  1  |   1   |  21845 |
